Symbol                    BaseName   Name       Type     Volume
GOAT/USDC:USDC            GOAT       GOAT       swap     1,721,925.63
DOOD/USDC:USDC            DOOD       DOOD       swap     1,648,576.15
KAITO/USDC:USDC           KAITO      KAITO      swap     1,625,110.06
OM/USDC:USDC              OM         OM         swap     1,481,145.06
GRIFFAIN/USDC:USDC        GRIFFAIN   GRIFFAIN   swap     1,460,999.72
SUSHI/USDC:USDC           SUSHI      SUSHI      swap     1,460,734.52
MERL/USDC:USDC            MERL       MERL       swap     1,414,611.70
ZK/USDC:USDC              ZK         ZK         swap     1,309,779.03
KAS/USDC:USDC             KAS        KAS        swap     1,217,680.30
ALGO/USDC:USDC            ALGO       ALGO       swap     1,215,655.13
STX/USDC:USDC             STX        STX        swap     1,168,179.14
WCT/USDC:USDC             WCT        WCT        swap     1,145,473.67
RUNE/USDC:USDC            RUNE       RUNE       swap     1,094,819.60
STRK/USDC:USDC            STRK       STRK       swap     1,089,981.93
SAND/USDC:USDC            SAND       SAND       swap     1,078,654.76
POL/USDC:USDC             POL        POL        swap     1,026,336.89
BANANA/USDC:USDC          BANANA     BANANA     swap     1,012,146.97
HPENGU/USDC               HPENGU     @184       spot     1,001,657.87
KNEIRO/USDC:USDC          kNEIRO     kNEIRO     swap     989,761.94
APE/USDC:USDC             APE        APE        swap     970,826.60
AR/USDC:USDC              AR         AR         swap     964,296.74
RENDER/USDC:USDC          RENDER     RENDER     swap     943,137.85
TURBO/USDC:USDC           TURBO      TURBO      swap     924,209.29
NEIROETH/USDC:USDC        NEIROETH   NEIROETH   swap     873,584.60
TRB/USDC:USDC             TRB        TRB        swap     861,612.06
W/USDC:USDC               W          W          swap     835,971.24
IO/USDC:USDC              IO         IO         swap     763,868.21
ATOM/USDC:USDC            ATOM       ATOM       swap     741,410.03
BLUR/USDC:USDC            BLUR       BLUR       swap     734,582.81
ANIME/USDC:USDC           ANIME      ANIME      swap     718,305.72
NEO/USDC:USDC             NEO        NEO        swap     690,771.46
ALT/USDC:USDC             ALT        ALT        swap     680,416.73
LIQD/USDC                 LIQD       @132       spot     650,205.88
CAKE/USDC:USDC            CAKE       CAKE       swap     630,469.89
NIL/USDC:USDC             NIL        NIL        swap     603,420.91
BLAST/USDC:USDC           BLAST      BLAST      swap     584,521.86
PROMPT/USDC:USDC          PROMPT     PROMPT     swap     544,422.65
TST/USDC:USDC             TST        TST        swap     543,576.28
FIL/USDC:USDC             FIL        FIL        swap     539,200.04
XAI/USDC:USDC             XAI        XAI        swap     511,616.59
BIGTIME/USDC:USDC         BIGTIME    BIGTIME    swap     510,731.73
LAYER/USDC:USDC           LAYER      LAYER      swap     474,179.39
BSV/USDC:USDC             BSV        BSV        swap     457,020.87
SUPER/USDC:USDC           SUPER      SUPER      swap     420,113.18
BIO/USDC:USDC             BIO        BIO        swap     389,937.08
COMP/USDC:USDC            COMP       COMP       swap     376,174.64
ZETA/USDC:USDC            ZETA       ZETA       swap     360,763.89
MEME/USDC:USDC            MEME       MEME       swap     354,245.36
MAVIA/USDC:USDC           MAVIA      MAVIA      swap     345,807.21
BOME/USDC:USDC            BOME       BOME       swap     341,265.21
GMX/USDC:USDC             GMX        GMX        swap     326,315.88
GALA/USDC:USDC            GALA       GALA       swap     324,708.16
ZEN/USDC:USDC             ZEN        ZEN        swap     319,534.06
ZEREBRO/USDC:USDC         ZEREBRO    ZEREBRO    swap     291,123.83
REZ/USDC:USDC             REZ        REZ        swap     288,821.07
GMT/USDC:USDC             GMT        GMT        swap     281,719.16
USUAL/USDC:USDC           USUAL      USUAL      swap     277,778.21
IMX/USDC:USDC             IMX        IMX        swap     276,798.04
DYDX/USDC:USDC            DYDX       DYDX       swap     260,491.31
SAGA/USDC:USDC            SAGA       SAGA       swap     258,890.44
ME/USDC:USDC              ME         ME         swap     250,120.66
DYM/USDC:USDC             DYM        DYM        swap     249,902.04
RSR/USDC:USDC             RSR        RSR        swap     231,992.95
GAS/USDC:USDC             GAS        GAS        swap     231,739.87
